row_id,vehicle_id,latitude,longitude,workerid,getdistance
1,1168038,31.81654,35.18962,1,0
2,1168038,31.81489,35.19168,1,267.48526628015145
3,1168038,31.81528,35.19092,1,83.88950954715524
4,1168038,31.81502,35.19194,1,100.62082781144203
5,1168038,31.81752,35.18783,1,477.5840069706335
6,508395,32.8164,35.13748,1,0
7,1201369,32.057,34.8456,1,0
8,508395,32.81615,35.13755,1,28.558017501785258
9,508395,32.81615,35.13755,1,0
10,508395,32.81615,35.13755,1,0
11,1168038,31.81723,35.18818,1,46.18949795093405
12,1168038,31.79666,35.22951,1,4526.029411938258
13,1201369,31.93317,34.92807,1,15813.852391201679
14,1201369,31.94209,34.92984,1,1005.8231117181758
15,1201369,31.94865,34.93137,1,743.5868939488216
16,1201369,31.9538,34.93473,1,654.5448705908966
17,1201369,31.95424,34.93512,1,61.21760821468154
18,1168038,31.79995,35.23269,1,473.444080790055
19,1201369,31.95599,34.93663,1,241.16536079259205
20,1201369,31.95601,34.93687,1,22.751479527920456
21,1201369,31.95587,34.9374,1,52.369540963642805
22,1201369,31.95567,34.93796,1,57.322478366911305
23,1201369,31.95541,34.93842,1,52.14641241976652
24,1201369,31.95522,34.93858,1,25.965643641131663
25,1201369,31.95425,34.93938,1,131.64432290757594
26,1201369,31.95423,34.93944,1,6.081916528589681
27,1201369,31.95422,34.93949,1,4.846566319810157
28,1201369,31.95424,34.93955,1,6.081917102178213
29,1201369,31.95437,34.93975,1,23.76974190992436
30,1168038,31.80293,35.22923,1,465.52613262392265
31,508395,32.81739,35.05473,1,7740.682995622386
32,1168038,31.80417,35.23035,1,173.82031215589544
33,1201369,31.95473,34.94013,1,53.73756529740309
34,1168038,31.80412,35.23182,1,139.02550308768642
35,508395,32.81716,35.05505,1,39.348367926384356
36,1201369,31.95489,34.94017,1,18.187027621576032
37,1201369,31.95556,34.9407,1,89.72517352507204
38,508395,32.81737,35.05471,1,39.43043422655794
39,508395,32.81736,35.05529,1,54.21152432496884
40,1201369,31.95756,34.94206,1,256.74871385784036
41,1201369,31.95926,34.94226,1,189.97071559709866
42,508395,32.81879,35.05491,1,162.92559960985375
43,508395,32.81953,35.05535,1,91.98512794950287
44,1201369,31.96371,34.94217,1,494.89026082185353
45,1201369,31.96395,34.94221,1,26.95223833452067
46,1201369,31.96434,34.94233,1,44.81919345392548
47,1201369,31.96462,34.94248,1,34.199302348494115
48,508395,32.82297,35.05816,1,463.9632735986998
49,508395,32.82462,35.05893,1,197.07526180234996
50,508395,32.8264,35.0609,1,270.29482239932383
51,1201369,31.97602,34.94841,1,1385.5550765097623
52,508395,32.82672,35.06171,1,83.63247369189773
53,508395,32.82795,35.06306,1,186.0580356992346
54,1201369,31.98007,34.95079,1,503.1887448834753
55,1168038,31.80383,35.23254,1,75.2944212509969
56,508395,32.83006,35.06367,1,241.4450415575828
57,1168038,31.80385,35.23313,1,55.79923349441454
58,1201369,31.98314,34.95204,1,361.1538341457014
59,1201369,31.98338,34.952,1,26.952126524463065
60,1201369,31.98342,34.95198,1,4.831260733828336
61,508395,32.83211,35.06441,1,238.2047961665744
62,1201369,31.98357,34.95174,1,28.11714947250019
63,1201369,31.98355,34.95174,1,2.223898532806983
64,508395,32.83371,35.06506,1,187.9916970441472
65,1201369,31.98358,34.95172,1,3.8322381558593928
66,1201369,31.9846,34.95159,1,114.07962488389094
67,508395,32.83419,35.06526,1,56.55008170187043
68,508395,32.83494,35.06563,1,90.27711725857301
69,1201369,31.9876,34.95081,1,341.59988436410237
70,1201369,31.9893,34.95099,1,189.79210158282774
71,1168038,31.80458,35.23575,1,260.5552332041484
72,508395,32.83627,35.06721,1,208.95546903809048
73,508395,32.83563,35.06851,1,140.7706381775863
74,1201369,31.99545,34.95168,1,686.9377531250501
75,1168038,31.8073,35.23556,1,302.98265621226756
76,508395,32.8342,35.07141,1,314.159332927331
77,508395,32.83354,35.07248,1,124.01674978991218
78,1201369,32.00291,34.95339,1,845.0419976787119
79,1201369,32.00457,34.95376,1,187.85192295822262
80,508395,32.83265,35.07367,1,148.84775214419935
81,1201369,32.0114,34.95359,1,759.6304900513737
82,1201369,32.01213,34.95356,1,81.2215652903697
83,1201369,32.0135,34.95352,1,152.383726983461
84,1168038,31.80673,35.23451,1,117.73722039238876
85,1249503,32.09092,34.80581,1,0
86,1249503,32.09094,34.80589,1,7.857675534078415
87,1249503,32.09094,34.80591,1,1.8841000450921725
88,1201369,32.01887,34.95367,1,597.2842079189543
89,1249503,32.0909,34.80595,1,5.829428521291894
90,1168038,31.80644,35.22993,1,433.9959947294222
91,1249503,32.08972,34.80603,1,131.42627491461803
92,1249503,32.08969,34.806,1,4.372095683250443
93,1249503,32.08967,34.80598,1,2.9147307883817133
94,1201369,32.02425,34.95388,1,598.5562187461279
95,1249503,32.08983,34.80545,1,53.00435382145124
96,1249503,32.08978,34.80532,1,13.449719283307445
97,1249503,32.08963,34.80524,1,18.302892574192622
98,1249503,32.08908,34.8049,1,69.03724803614033
99,1201369,32.02575,34.95397,1,167.00805120213846
100,1249503,32.08886,34.80436,1,56.4479629306303
101,508395,32.83255,35.07378,1,15.141715936283285
102,508395,32.83255,35.07376,1,1.8686501365964934
103,1168038,31.8057,35.22051,1,893.961857074019
104,1249503,32.08884,34.80434,1,2.9147418514023964
105,508395,32.83254,35.07375,1,1.4523755032221985
106,508395,32.83255,35.07373,1,2.174461978611822
107,508395,32.83255,35.07373,1,0
108,508395,32.83252,35.07374,1,3.4642234578141347
109,1249503,32.089,34.80413,1,26.60663019663711
110,1249503,32.08903,34.80403,1,9.993870343543705
111,1249503,32.08901,34.80396,1,6.959382604442071
112,1249503,32.08897,34.80393,1,5.269759373598652
113,508395,32.83244,35.07369,1,10.047672004264252
114,508395,32.83242,35.07368,1,2.412196172857215
115,508395,32.83235,35.07368,1,7.783644865219483
116,1168038,31.80651,35.21614,1,422.6621998420127
117,508395,32.83224,35.07373,1,13.09321887022337
118,508395,32.83224,35.07373,1,0
119,508395,32.83209,35.07377,1,17.092821532973762
120,508395,32.83175,35.07387,1,38.943703032892216
121,1201369,32.03025,34.9545,1,502.865404432568
122,508395,32.83157,35.07393,1,20.785355648437175
123,508395,32.83157,35.07393,1,0
124,508395,32.83137,35.07399,1,22.93468798419667
125,508395,32.83118,35.07404,1,21.63738345621054
126,508395,32.8308,35.07415,1,43.486076920375474
127,508395,32.83061,35.0742,1,21.637389931504185
128,1201369,32.03181,34.95493,1,178.1371663711782
129,508395,32.83024,35.07431,1,42.40646050111455
130,1168038,31.80881,35.20762,1,844.7494711092502
131,1201369,32.0346,34.95581,1,321.13267731192667
132,508395,32.82903,35.0746,1,137.2472190677119
133,1249503,32.08843,34.80399,1,60.310723411025386
134,1201369,32.03614,34.95539,1,175.75716577237665
135,1201369,32.03664,34.95507,1,63.25282425009968
136,1249503,32.08791,34.80394,1,58.01290966788938
137,1201369,32.03711,34.95465,1,65.56374454261886
138,1249503,32.08753,34.80362,1,51.905952494247536
139,508395,32.82727,35.07516,1,202.5773340526336
140,1249503,32.08694,34.80454,1,108.70176009257018
141,1249503,32.08686,34.80453,1,8.945341338953492
142,1168038,31.81253,35.2013,1,726.459823155888
143,1201369,32.04129,34.94965,1,661.9289408753265
144,508395,32.82465,35.07709,1,342.6301487288441
145,1168038,31.81273,35.19935,1,185.59435125772112
146,508395,32.82417,35.07889,1,176.45944233197474
147,1201369,32.04721,34.94507,1,787.1922147880514
148,1249503,32.08652,34.80435,1,41.435222377997555
149,1201369,32.04933,34.94405,1,254.58181171216282
150,1249503,32.08686,34.80454,1,41.82961466684439
151,1249503,32.08688,34.80448,1,6.074295652185729
152,1249503,32.08693,34.80439,1,10.13909492605848
153,1249503,32.08733,34.80363,1,84.28924116832802
154,1201369,32.05248,34.94352,1,353.8077684441814
155,1201369,32.05261,34.94347,1,15.204011452985002
156,1249503,32.08753,34.80381,1,27.966605637921848
157,1249503,32.08789,34.80409,1,47.93987122165062
158,1168038,31.81503,35.19516,1,471.33101512441
159,1201369,32.05253,34.94358,1,13.660314876586982
160,508395,32.82411,35.07951,1,58.316534385482505
161,1201369,32.05372,34.94357,1,132.32531884437645
162,1249503,32.08831,34.80413,1,46.85365301118255
163,1249503,32.08848,34.80392,1,27.3627391980289
164,1249503,32.08849,34.80383,1,8.551281298320411
165,508395,32.82361,35.0817,1,212.05533887100233
166,1168038,31.81248,35.19522,1,283.6037354949487
167,508395,32.82211,35.08153,1,167.5471360929234
168,1249503,32.08945,34.80155,1,239.85530722781232
169,1249503,32.08947,34.80151,1,4.375559004202915
170,1201369,32.05372,34.94349,1,7.539468599251507
171,508395,32.81995,35.08102,1,244.8634302100955
172,1168038,31.8143,35.19322,1,276.8917324053201
173,508395,32.81887,35.08059,1,126.63459263131426
174,508395,32.8171,35.07945,1,223.79657070097204
175,1249503,32.09058,34.79868,1,293.78756844435645
176,1201369,32.05832,34.94312,1,512.6838153613626
177,1249503,32.09063,34.79848,1,19.64425311199776
178,1249503,32.09062,34.79842,1,5.760655195074371
179,1168038,31.81649,35.18982,1,403.12276896998725
180,1249503,32.08972,34.79816,1,103.02924037069019
181,1201369,32.06303,34.94282,1,524.4905803254821
182,1249503,32.08911,34.79838,1,70.9246396987818
183,1249503,32.08887,34.79874,1,43.15529320984995
184,1201369,32.06648,34.94373,1,393.0896502977542
185,1201369,32.06849,34.94459,1,237.73949208847654
186,1249503,32.08875,34.79907,1,33.83094997203522
187,508395,32.81679,35.07922,1,40.62228764520955
188,1249503,32.08868,34.79914,1,10.20160277828475
189,1201369,32.06844,34.94455,1,6.716926034673336
190,1249503,32.08856,34.79919,1,14.150394744650738
191,1201369,32.0711,34.94543,1,307.1816802569293
192,1249503,32.08838,34.79925,1,20.79793075216848
193,1201369,32.07393,34.94689,1,343.43736579095537
194,1249503,32.08816,34.79926,1,24.481017073219405
195,508395,32.81552,35.08138,1,246.34612644305966
196,1201369,32.08074,34.95117,1,857.919060672229
197,1249503,32.0874,34.79904,1,87.01256199433666
198,508395,32.81519,35.08643,1,473.3499328250719
199,508395,32.81522,35.08741,1,91.64247207779525
200,1201369,32.08281,34.95226,1,252.04334101609217
201,1201369,32.08372,34.95245,1,102.75851679320576
202,1201369,32.0838,34.95241,1,9.660908775004001
203,1249503,32.08697,34.79884,1,51.39235069535291
204,1201369,32.08382,34.95239,1,2.9148090256334958
205,508395,32.81454,35.09181,1,418.07919497964235
206,1201369,32.08382,34.9523,1,8.479110824748211
207,1201369,32.08511,34.95152,1,161.16920392704617
208,1201369,32.08529,34.95127,1,30.90849056513546
209,1201369,32.08554,34.95085,1,48.35736906019246
210,508395,32.81321,35.09649,1,461.6834035553385
211,1249503,32.08551,34.79826,1,171.29355943604227
212,1201369,32.08703,34.94756,1,351.4529325663431
213,508395,32.81267,35.09892,1,234.89531673583704
214,1249503,32.08503,34.79808,1,56.002763990457254
215,508395,32.81264,35.09954,1,58.03707791600986
216,1249503,32.08497,34.79803,1,8.16705962212434
217,1249503,32.08477,34.79798,1,22.732396976141644
218,508395,32.81289,35.1002,1,67.65420960998547
219,508395,32.81406,35.10153,1,179.92773041725627
220,1249503,32.08389,34.79781,1,99.15359564301367
221,1201369,32.09404,34.93918,1,1109.4148298038212
222,508395,32.81456,35.10283,1,133.6047097443049
223,1201369,32.09623,34.93584,1,397.860121434525
224,1201369,32.09668,34.93543,1,63.209258283709026
225,1201369,32.097,34.93522,1,40.71147330928859
226,508395,32.81612,35.10515,1,277.65874472977623
227,1201369,32.09913,34.93521,1,236.84706695194467
228,508395,32.81684,35.1064,1,141.61443349391914
229,1249503,32.08229,34.79775,1,178.00166282207564
230,1249503,32.08198,34.79771,1,34.67581900803156
231,508395,32.81656,35.10798,1,150.89664594081057
232,1201369,32.10566,34.93626,1,732.8077188785758
233,508395,32.81644,35.10929,1,123.14375697736024
234,1249503,32.08153,34.7976,1,51.099678639060706
235,508395,32.81682,35.10997,1,76.31144290290726
